UzSaemyung,,Avtokomponent,,Umid Metal,,Avtochas,,Asaka davr,,Farmould,,Xasanov M,,Premium S,,Xoshimov A,,Tursunov M,,Mega Rent Car,,Andijon But,,Axtachi,,Muratov,,Meridian,,Auto Screw,,Vodiy And Ilg'or,,Result
Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,Detal ID,Detal nomi,,,,,
117 0265,HEAT SHIELD(PIPE) (SA1D),117 0276 A,RESONATOR,9458 4035,PIPE SPIRE TIRE,ATA8 2509,Труба 22х22х1.6х830,9473 6349,LOOP-CHILD ST ATCH,АТА9 8241,BOX-R/CMPT LID HGE(LH),bcv5 2352,JBSC-HINGE (HOOD SIDE)-LH,9664 8848,"BEAM-IMPACT,  FRT DR (закалка)",75 6021,Inlet Flange /Приемный фланец,9453 3754,Inlet Gasket / Прокладка входа,580 2009,Hanger / Кронштейн,9474 9012,Isolator / Изоляторы,22x22,22x22,142 S12,REAR Muffler Hanger,9661 0775,CHANNEL BEAM FRAME LH,11611072,Stud bolt,96809539,T-250 serviz,bcv5 2352
9639 3127,BRACKET-HOOD RELEASE LVR,1550 2201,Frt Muffler 2Y (UC),(10х1500х6000) 09 Г2С,Лист,ATA8 2508,Труба 20х20х1.6х815,ATA9 8230,LINK-R/CMPT LID HGE TORQ ROD(L),АТА9 8206,BOX-R/CMPT LID HGE(RH),bcv5 2357,JBSC-HINGE (HOOD SIDE)-RH,9668 9976,"BEAM IMPACT, RR DR (25,4x2,0x477mm)",75 6050,"Flange  Assembly SS400,10t",9453 3773,Oulet Gasket / Прокладка входа,580 2007,Hanger / Кронштейн,9474 9013,Isolator / Изоляторы,12.7*1.5*4100,spcc,AVK1 4189,AVK1 4189,9661 0776,CHANNEL BEAM FRAME RH,,,,,bcv5 2357
9643 3287,BRACKET-KNEE DRIVER RH,1550 2202,Frt Muffler 3Y (UD),9618 4413а,BRKT,BCV2 7198,STRAP-GOOSENECK HE-LH-MANUFACTURE,ATA9 8231,LINK-R/CMPT LID HGE TORQ ROD(R),9654 8818,SUPPORT A-HINGE TRUNK LID LH,BCV6 7518,HINGE L/GATE (L/GATE SI),9664 8899,"BEAM IMPACT, RR DR (25,4x2,2x535,8mm)",580 2021,Inlet Flange /Приемный фланец,,,580 2008,Hanger / Кронштейн,,,31.8*2.4*4750,stkm 15c,141s01,flange,142 S16,Муфта заднего глушителя,,,,,BCV6 7518
9645 2832,"BRKT-G/BOX LWR,RH",1550 3201,RR MUFFLER - 2Y,142 S16-1,Втулка,BCV2 6030,STRAP-GOOSENECK HE-LH-MANUFACTURE,9664 9231,"SUPPORT-HING,TRUNK",9654 8819,SUPPORT A-HINGE TRUNK LID RH,BCV6 7533,BRKT-I/P CSTR TR PLT,9668 9904,"BEAM IMPACT, RR DR (31,0x2,0x891mm)",756050,flange,,,,,,,34.0*1.5*4900,said,,,141 S01,FLANGE FRT N-1,,,,,BCV6 7533
9648 9857,REF-I/P LWR TIE BAR,1550 3202,RR MUFFLER - 3Y,,,142 S12,REAR Muffler Hanger,9664 9235,"PLATE-CONN, HINGE, T/LID LH",9654 8825,"PLATE-CONN,HHINGE, TRUNK LID, LH",142 S13,RR MUFFLER-HANGER PIPE,9661 0825,"BEAM-IMPACT,FRONT DOOR (25.4x2.0x830)",1988280,flange,,,,,,,34.02.0*4980,stkm]sphc,,,AVK1 4189,REAR Muffler Hanger,,,,,142 S13
9649 5221,BRACKET-KNEE DRIVER LH,9518 2621,"FRT MUFFLER A, B12D [3Y]",,,AVK14189,B100,9664 9236,"PLATE-CONN, HINGE, T/LID RH",9654 8826,"PLATE-CONN,HHINGE, TRUNK LID, RH",BCV2 6032,BOX INNER-DECKLID HE LH,9654 7382,"BEAM-IMPACT, FRONT DOOR (31x25x2,0x788mm)",1928280,flange inlet,,,,,,,"31,8*1,2*5700",said truba,,,9458 4035,9458 4035,,,,,BCV2 6032
9655 5207,"BRACKET-TIE BAR SIDE,LH",9518 2622,"RR MUFFLER A, B12D [3Y]",,,142s16,mufta ,9661 0780,Bracket-Beam Frame RR.R,,,BCV2 7219,BOX INNER-DECKLID HE RH,9654 7768,"BEAM-IMPACT, REAR DOOR (31x25x2,0x580)",,,,,,,,,35.1.5*4900,said truba,,,,,,,,,BCV2 7219
9655 5208,"BRACKET-TIE BAR,SIDE RH",9518 2623,"FRT MUFFLER A, B12D [2Y]",,,,,9661 0779,Bracket-Beam Frame RR.L,,,bcv5 2355,JBSC-HINGE (BODY SIDE)-LH,,,,,,,,,,,"38,1*1,5*5600",said,,,,,,,,,bcv5 2355
9655 5215,"BRACKET-STEERING COL,UPR",9518 2624,"RR MUFFLER A, [B12D, 2Y]",,,,,9661 0778,Bracket-Beam Frt.R,,,bcv5 2360,JBSC-HINGE (BODY SIDE)-RH,,,,,,,,,,,,,,,,,,,,,bcv5 2360
9655 5218,"BRACKET-CLUSTER,INST PNL",9661 0825-1,"BEAM-IMPACT,FRONT DOOR (25.4x2.0x830)",,,,,9661 0777,Bracket-Beam Frt.L,,,142 S13L,RR-Mufller HANGER PIPE#2,,,,,,,,,,,,,,,,,,,,,142 S13L
9655 5225,"FRAME TIE-BAR,CTR,LH",9654 7768-1,"BEAM-IMPACT, REAR DOOR (31x25x2,0x580)",,,,,9661 0776,Channel-Beam Frame.R,,,BCV4 4033,SUPPORT HOOD HINGE LH,,,,,,,,,,,,,,,,,,,,,BCV4 4033
9655 5229,"FRAME TIE-BAR,CTR,RH",9654 7382-1,"BEAM-IMPACT, FRONT DOOR (31x25x2,0x788mm)",,,,,9661 0775,Channel-Beam Frame.L,,,BCV6 2770,SUPPORT HOOD HINGE RH,,,,,,,,,,,,,,,,,,,,,BCV6 2770
9655 5235,BRACKET RELAY,9655 3655-1,HANGER NO. 4 (S10C),,,,,199 0104X,HANGIR A LEGT,,,BCV4 4038,ARM HOOD HINGE LH,,,,,,,,,,,,,,,,,,,,,BCV4 4038
9655 5244,"BRACKET PAB MODULE,LH",AFT-L- 172500,Flexible Pipe / Гибкая труба,,,,,199 0105X,HANGIR A RIGHT,,,BCV6 2772,ARM HOOD HINGE RH,,,,,,,,,,,,,,,,,,,,,BCV6 2772
